MINX,MINY,MAXX,MAXY,URBS,COUNTRY
33.371,0.7369,33.812,1.0709,Kaliro,UG
33.552,1.0723,33.993,1.4062,Pallisa,UG
33.547,1.4503,33.989,1.7841,Soroti,UG
33.538,0.4631,33.980,0.7970,Bugiri,UG
33.925,0.1935,34.366,0.5275,Busia,UG
34.022,0.5847,34.463,0.9186,Tororo,UG
33.913,0.8935,34.354,1.2274,Mbale,UG
34.801,0.8003,35.242,1.1342,Kitale,KE
34.960,0.4044,35.401,0.7384,Eldoret,KE
34.448,0.4998,34.890,0.8338,Bungoma,KE
34.415,0.0548,34.856,0.3888,Kakamega,KE
33.931,-0.012,34.372,0.3225,Siaya,KE
31.458,-0.453,31.899,-0.118,Masaka,UG
30.547,-0.851,30.989,-0.516,Mbarara,UG
31.446,-1.542,31.888,-1.207,Bukoba,TZ
29.969,-2.066,30.411,-1.732,Kigali,RW
34.521,-0.217,34.963,0.1171,Kisumu,KE
34.574,-0.811,35.015,-0.476,Kisii,KE
34.390,-0.658,34.831,-0.323,Homa Bay,KE
34.321,-1.177,34.763,-0.842,Migori,KE
34.277,-1.368,34.718,-1.034,Isebania,KE
34.307,-1.497,34.749,-1.162,Tarime,TZ
34.333,-2.008,34.774,-1.673,Mugumu,TZ
35.653,-1.269,36.094,-0.934,Narok,KE
35.652,-0.462,36.093,-0.128,Molo,KE
35.824,-0.440,36.265,-0.105,Nakuru,KE
36.189,-0.767,36.630,-0.432,Gilgil,KE
36.259,-0.993,36.700,-0.659,Naivasha,KE
36.516,-1.247,36.957,-0.912,Limuru,KE
36.592,-1.516,37.033,-1.181,Nairobi,KE
36.771,-1.318,37.213,-0.983,Thika,KE
36.877,-1.579,37.318,-1.244,Athi River,KE
37.074,-0.769,37.515,-0.434,Karatina,KE
36.754,-0.619,37.195,-0.285,Nyeri,KE
37.536,-0.064,37.977,0.2704,Meru,KE
37.491,0.1072,37.932,0.4412,Isiolo,KE
36.927,-0.115,37.368,0.2190,Nanyuki,KE
36.030,-0.202,36.471,0.1320,Nyahururu,KE
39.532,-3.849,39.973,-3.515,Kilifi,KE
39.372,-4.156,39.813,-3.821,Mombasa,KE
39.254,-4.374,39.695,-4.040,Ukunda,KE
39.809,-3.391,40.250,-3.056,Malindi,KE
38.725,-5.310,39.166,-4.977,Tanga,TZ
38.391,-5.368,38.832,-5.035,Korogwe,TZ
37.175,-3.564,37.616,-3.229,Moshi,TZ
36.794,-3.464,37.235,-3.130,Boma Ngombe,TZ
36.527,-3.582,36.969,-3.247,Arusha,TZ
33.598,-3.361,34.039,-3.027,Maswa,TZ
33.240,-3.810,33.681,-3.476,Shinyanga,TZ
32.531,-4.032,32.972,-3.698,Kahama,TZ
32.092,-3.138,32.533,-2.803,Geita,TZ
32.362,-2.887,32.803,-2.553,Sengerema,TZ
32.834,-2.716,33.275,-2.381,Mwanza,TZ
32.919,-2.194,33.361,-1.859,Nansio,TZ
33.661,-2.300,34.103,-1.963,Bunda,TZ
33.609,-1.714,34.050,-1.379,Musoma,TZ
38.796,-6.739,39.238,-6.407,Bagamoyo,TZ
39.126,-6.276,39.567,-5.943,Zanzibar,TZ
38.942,-6.904,39.384,-6.572,Dar es-Salaam,TZ
39.023,-7.094,39.465,-6.762,Mbagala,TZ
37.497,-6.989,37.938,-6.657,Morogoro,TZ
35.522,-6.319,35.963,-5.986,Dodoma,TZ
35.534,-7.904,35.975,-7.572,Iringa,TZ
34.688,-5.922,35.129,-5.588,Manyoni,TZ
34.603,-4.987,35.044,-4.653,Singida,TZ
32.725,-5.191,33.166,-4.857,Tabora,TZ
32.889,-8.654,33.330,-8.323,Makongolosi,TZ
33.219,-9.122,33.661,-8.791,Mbeya,TZ
32.732,-9.272,33.173,-8.942,Vwawa,TZ
32.596,-9.396,33.038,-9.065,Tunduma,TZ
33.550,-9.726,33.991,-9.396,Kyela,TZ
33.575,-10.07,34.017,-9.734,Karonga,MW
34.473,-9.431,34.914,-9.100,Njombe,TZ
34.526,-9.110,34.968,-8.779,Makambako,TZ
34.200,-8.919,34.641,-8.588,Rujewa,TZ
35.080,-8.476,35.521,-8.145,Mafinga,TZ
35.994,-8.452,36.435,-8.121,Lukolongo,TZ
36.452,-8.347,36.893,-8.015,Ifakara,TZ
36.603,-8.146,37.044,-7.815,Mgudene,TZ
35.367,-10.73,35.809,-10.39,Songea,TZ
